,video_name,tag
0,D:\Dataset\Exercises dataset\train/Arm Raise/000000.mp4,Arm Raise
1,D:\Dataset\Exercises dataset\train/Arm Raise/000001.mp4,Arm Raise
2,D:\Dataset\Exercises dataset\train/Arm Raise/000002.mp4,Arm Raise
3,D:\Dataset\Exercises dataset\train/Arm Raise/000003.mp4,Arm Raise
4,D:\Dataset\Exercises dataset\train/Arm Raise/000004.mp4,Arm Raise
5,D:\Dataset\Exercises dataset\train/Arm Raise/000005.mp4,Arm Raise
6,D:\Dataset\Exercises dataset\train/Arm Raise/000006.mp4,Arm Raise
7,D:\Dataset\Exercises dataset\train/Arm Raise/000007.mp4,Arm Raise
8,D:\Dataset\Exercises dataset\train/Arm Raise/000008.mp4,Arm Raise
9,D:\Dataset\Exercises dataset\train/Arm Raise/000009.mp4,Arm Raise
10,D:\Dataset\Exercises dataset\train/Arm Raise/000010.mp4,Arm Raise
11,D:\Dataset\Exercises dataset\train/Arm Raise/000011.mp4,Arm Raise
12,D:\Dataset\Exercises dataset\train/Arm Raise/000012.mp4,Arm Raise
13,D:\Dataset\Exercises dataset\train/Arm Raise/000013.mp4,Arm Raise
14,D:\Dataset\Exercises dataset\train/Arm Raise/000014.mp4,Arm Raise
15,D:\Dataset\Exercises dataset\train/Arm Raise/000015.mp4,Arm Raise
16,D:\Dataset\Exercises dataset\train/Arm Raise/000016.mp4,Arm Raise
17,D:\Dataset\Exercises dataset\train/Arm Raise/000017.mp4,Arm Raise
18,D:\Dataset\Exercises dataset\train/Arm Raise/000018.mp4,Arm Raise
19,D:\Dataset\Exercises dataset\train/Arm Raise/000019.mp4,Arm Raise
20,D:\Dataset\Exercises dataset\train/Arm Raise/000020.mp4,Arm Raise
21,D:\Dataset\Exercises dataset\train/Arm Raise/000021.mp4,Arm Raise
22,D:\Dataset\Exercises dataset\train/Arm Raise/000022.mp4,Arm Raise
23,D:\Dataset\Exercises dataset\train/Arm Raise/000023.mp4,Arm Raise
24,D:\Dataset\Exercises dataset\train/Arm Raise/000024.mp4,Arm Raise
25,D:\Dataset\Exercises dataset\train/Arm Raise/000025.mp4,Arm Raise
26,D:\Dataset\Exercises dataset\train/Arm Raise/000026.mp4,Arm Raise
27,D:\Dataset\Exercises dataset\train/Arm Raise/000027.mp4,Arm Raise
28,D:\Dataset\Exercises dataset\train/Arm Raise/000028.mp4,Arm Raise
29,D:\Dataset\Exercises dataset\train/Arm Raise/000029.mp4,Arm Raise
30,D:\Dataset\Exercises dataset\train/Arm Raise/000030.mp4,Arm Raise
31,D:\Dataset\Exercises dataset\train/Arm Raise/000031.mp4,Arm Raise
32,D:\Dataset\Exercises dataset\train/Arm Raise/000032.mp4,Arm Raise
33,D:\Dataset\Exercises dataset\train/Arm Raise/000033.mp4,Arm Raise
34,D:\Dataset\Exercises dataset\train/Arm Raise/000034.mp4,Arm Raise
35,D:\Dataset\Exercises dataset\train/Arm Raise/000035.mp4,Arm Raise
36,D:\Dataset\Exercises dataset\train/Arm Raise/000036.mp4,Arm Raise
37,D:\Dataset\Exercises dataset\train/Arm Raise/000037.mp4,Arm Raise
38,D:\Dataset\Exercises dataset\train/Arm Raise/000038.mp4,Arm Raise
39,D:\Dataset\Exercises dataset\train/Arm Raise/000039.mp4,Arm Raise
40,D:\Dataset\Exercises dataset\train/Arm Raise/000040.mp4,Arm Raise
41,D:\Dataset\Exercises dataset\train/Arm Raise/000041.mp4,Arm Raise
42,D:\Dataset\Exercises dataset\train/Arm Raise/000042.mp4,Arm Raise
43,D:\Dataset\Exercises dataset\train/Arm Raise/000043.mp4,Arm Raise
44,D:\Dataset\Exercises dataset\train/Arm Raise/000044.mp4,Arm Raise
45,D:\Dataset\Exercises dataset\train/Arm Raise/000045.mp4,Arm Raise
46,D:\Dataset\Exercises dataset\train/Arm Raise/000046.mp4,Arm Raise
47,D:\Dataset\Exercises dataset\train/Arm Raise/000047.mp4,Arm Raise
48,D:\Dataset\Exercises dataset\train/Arm Raise/000048.mp4,Arm Raise
49,D:\Dataset\Exercises dataset\train/Arm Raise/000049.mp4,Arm Raise
50,D:\Dataset\Exercises dataset\train/Arm Raise/000050.mp4,Arm Raise
51,D:\Dataset\Exercises dataset\train/Arm Raise/000051.mp4,Arm Raise
52,D:\Dataset\Exercises dataset\train/Arm Raise/000052.mp4,Arm Raise
53,D:\Dataset\Exercises dataset\train/Arm Raise/000053.mp4,Arm Raise
54,D:\Dataset\Exercises dataset\train/Arm Raise/000054.mp4,Arm Raise
55,D:\Dataset\Exercises dataset\train/Arm Raise/000055.mp4,Arm Raise
56,D:\Dataset\Exercises dataset\train/Arm Raise/000056.mp4,Arm Raise
57,D:\Dataset\Exercises dataset\train/Arm Raise/000057.mp4,Arm Raise
58,D:\Dataset\Exercises dataset\train/Arm Raise/000058.mp4,Arm Raise
59,D:\Dataset\Exercises dataset\train/Arm Raise/000059.mp4,Arm Raise
60,D:\Dataset\Exercises dataset\train/Arm Raise/000060.mp4,Arm Raise
61,D:\Dataset\Exercises dataset\train/Arm Raise/000061.mp4,Arm Raise
62,D:\Dataset\Exercises dataset\train/Arm Raise/000062.mp4,Arm Raise
63,D:\Dataset\Exercises dataset\train/Arm Raise/000063.mp4,Arm Raise
64,D:\Dataset\Exercises dataset\train/Arm Raise/000064.mp4,Arm Raise
65,D:\Dataset\Exercises dataset\train/Arm Raise/000065.mp4,Arm Raise
66,D:\Dataset\Exercises dataset\train/Arm Raise/000066.mp4,Arm Raise
67,D:\Dataset\Exercises dataset\train/Arm Raise/000067.mp4,Arm Raise
68,D:\Dataset\Exercises dataset\train/Arm Raise/000068.mp4,Arm Raise
69,D:\Dataset\Exercises dataset\train/Arm Raise/000069.mp4,Arm Raise
70,D:\Dataset\Exercises dataset\train/Arm Raise/000070.mp4,Arm Raise
71,D:\Dataset\Exercises dataset\train/Arm Raise/000071.mp4,Arm Raise
72,D:\Dataset\Exercises dataset\train/Arm Raise/000072.mp4,Arm Raise
73,D:\Dataset\Exercises dataset\train/Arm Raise/000073.mp4,Arm Raise
74,D:\Dataset\Exercises dataset\train/Arm Raise/000074.mp4,Arm Raise
75,D:\Dataset\Exercises dataset\train/Arm Raise/000075.mp4,Arm Raise
76,D:\Dataset\Exercises dataset\train/Arm Raise/000076.mp4,Arm Raise
77,D:\Dataset\Exercises dataset\train/Arm Raise/000077.mp4,Arm Raise
78,D:\Dataset\Exercises dataset\train/Arm Raise/000078.mp4,Arm Raise
79,D:\Dataset\Exercises dataset\train/Arm Raise/000079.mp4,Arm Raise
80,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000000.mp4,Bicycle Crunch
81,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000001.mp4,Bicycle Crunch
82,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000002.mp4,Bicycle Crunch
83,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000003.mp4,Bicycle Crunch
84,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000004.mp4,Bicycle Crunch
85,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000005.mp4,Bicycle Crunch
86,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000006.mp4,Bicycle Crunch
87,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000007.mp4,Bicycle Crunch
88,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000008.mp4,Bicycle Crunch
89,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000009.mp4,Bicycle Crunch
90,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000010.mp4,Bicycle Crunch
91,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000011.mp4,Bicycle Crunch
92,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000012.mp4,Bicycle Crunch
93,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000013.mp4,Bicycle Crunch
94,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000014.mp4,Bicycle Crunch
95,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000015.mp4,Bicycle Crunch
96,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000016.mp4,Bicycle Crunch
97,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000017.mp4,Bicycle Crunch
98,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000018.mp4,Bicycle Crunch
99,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000019.mp4,Bicycle Crunch
100,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000020.mp4,Bicycle Crunch
101,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000021.mp4,Bicycle Crunch
102,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000022.mp4,Bicycle Crunch
103,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000023.mp4,Bicycle Crunch
104,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000024.mp4,Bicycle Crunch
105,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000025.mp4,Bicycle Crunch
106,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000026.mp4,Bicycle Crunch
107,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000027.mp4,Bicycle Crunch
108,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000028.mp4,Bicycle Crunch
109,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000029.mp4,Bicycle Crunch
110,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000030.mp4,Bicycle Crunch
111,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000031.mp4,Bicycle Crunch
112,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000032.mp4,Bicycle Crunch
113,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000033.mp4,Bicycle Crunch
114,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000034.mp4,Bicycle Crunch
115,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000035.mp4,Bicycle Crunch
116,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000036.mp4,Bicycle Crunch
117,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000037.mp4,Bicycle Crunch
118,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000038.mp4,Bicycle Crunch
119,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000039.mp4,Bicycle Crunch
120,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000040.mp4,Bicycle Crunch
121,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000041.mp4,Bicycle Crunch
122,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000042.mp4,Bicycle Crunch
123,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000043.mp4,Bicycle Crunch
124,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000044.mp4,Bicycle Crunch
125,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000045.mp4,Bicycle Crunch
126,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000046.mp4,Bicycle Crunch
127,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000047.mp4,Bicycle Crunch
128,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000048.mp4,Bicycle Crunch
129,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000049.mp4,Bicycle Crunch
130,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000050.mp4,Bicycle Crunch
131,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000051.mp4,Bicycle Crunch
132,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000052.mp4,Bicycle Crunch
133,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000053.mp4,Bicycle Crunch
134,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000054.mp4,Bicycle Crunch
135,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000055.mp4,Bicycle Crunch
136,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000056.mp4,Bicycle Crunch
137,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000057.mp4,Bicycle Crunch
138,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000058.mp4,Bicycle Crunch
139,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000059.mp4,Bicycle Crunch
140,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000060.mp4,Bicycle Crunch
141,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000061.mp4,Bicycle Crunch
142,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000062.mp4,Bicycle Crunch
143,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000063.mp4,Bicycle Crunch
144,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000064.mp4,Bicycle Crunch
145,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000065.mp4,Bicycle Crunch
146,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000066.mp4,Bicycle Crunch
147,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000067.mp4,Bicycle Crunch
148,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000068.mp4,Bicycle Crunch
149,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000069.mp4,Bicycle Crunch
150,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000070.mp4,Bicycle Crunch
151,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000071.mp4,Bicycle Crunch
152,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000072.mp4,Bicycle Crunch
153,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000073.mp4,Bicycle Crunch
154,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000074.mp4,Bicycle Crunch
155,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000075.mp4,Bicycle Crunch
156,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000076.mp4,Bicycle Crunch
157,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000077.mp4,Bicycle Crunch
158,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000078.mp4,Bicycle Crunch
159,D:\Dataset\Exercises dataset\train/Bicycle Crunch/000079.mp4,Bicycle Crunch
160,D:\Dataset\Exercises dataset\train/Bird Dog/000000.mp4,Bird Dog
161,D:\Dataset\Exercises dataset\train/Bird Dog/000001.mp4,Bird Dog
162,D:\Dataset\Exercises dataset\train/Bird Dog/000002.mp4,Bird Dog
163,D:\Dataset\Exercises dataset\train/Bird Dog/000003.mp4,Bird Dog
164,D:\Dataset\Exercises dataset\train/Bird Dog/000004.mp4,Bird Dog
165,D:\Dataset\Exercises dataset\train/Bird Dog/000005.mp4,Bird Dog
166,D:\Dataset\Exercises dataset\train/Bird Dog/000006.mp4,Bird Dog
167,D:\Dataset\Exercises dataset\train/Bird Dog/000007.mp4,Bird Dog
168,D:\Dataset\Exercises dataset\train/Bird Dog/000008.mp4,Bird Dog
169,D:\Dataset\Exercises dataset\train/Bird Dog/000009.mp4,Bird Dog
170,D:\Dataset\Exercises dataset\train/Bird Dog/000010.mp4,Bird Dog
171,D:\Dataset\Exercises dataset\train/Bird Dog/000011.mp4,Bird Dog
172,D:\Dataset\Exercises dataset\train/Bird Dog/000012.mp4,Bird Dog
173,D:\Dataset\Exercises dataset\train/Bird Dog/000013.mp4,Bird Dog
174,D:\Dataset\Exercises dataset\train/Bird Dog/000014.mp4,Bird Dog
175,D:\Dataset\Exercises dataset\train/Bird Dog/000015.mp4,Bird Dog
176,D:\Dataset\Exercises dataset\train/Bird Dog/000016.mp4,Bird Dog
177,D:\Dataset\Exercises dataset\train/Bird Dog/000017.mp4,Bird Dog
178,D:\Dataset\Exercises dataset\train/Bird Dog/000018.mp4,Bird Dog
179,D:\Dataset\Exercises dataset\train/Bird Dog/000019.mp4,Bird Dog
180,D:\Dataset\Exercises dataset\train/Bird Dog/000020.mp4,Bird Dog
181,D:\Dataset\Exercises dataset\train/Bird Dog/000021.mp4,Bird Dog
182,D:\Dataset\Exercises dataset\train/Bird Dog/000022.mp4,Bird Dog
183,D:\Dataset\Exercises dataset\train/Bird Dog/000023.mp4,Bird Dog
184,D:\Dataset\Exercises dataset\train/Bird Dog/000024.mp4,Bird Dog
185,D:\Dataset\Exercises dataset\train/Bird Dog/000025.mp4,Bird Dog
186,D:\Dataset\Exercises dataset\train/Bird Dog/000026.mp4,Bird Dog
187,D:\Dataset\Exercises dataset\train/Bird Dog/000027.mp4,Bird Dog
188,D:\Dataset\Exercises dataset\train/Bird Dog/000028.mp4,Bird Dog
189,D:\Dataset\Exercises dataset\train/Bird Dog/000029.mp4,Bird Dog
190,D:\Dataset\Exercises dataset\train/Bird Dog/000030.mp4,Bird Dog
191,D:\Dataset\Exercises dataset\train/Bird Dog/000031.mp4,Bird Dog
192,D:\Dataset\Exercises dataset\train/Bird Dog/000032.mp4,Bird Dog
193,D:\Dataset\Exercises dataset\train/Bird Dog/000033.mp4,Bird Dog
194,D:\Dataset\Exercises dataset\train/Bird Dog/000034.mp4,Bird Dog
195,D:\Dataset\Exercises dataset\train/Bird Dog/000035.mp4,Bird Dog
196,D:\Dataset\Exercises dataset\train/Bird Dog/000036.mp4,Bird Dog
197,D:\Dataset\Exercises dataset\train/Bird Dog/000037.mp4,Bird Dog
198,D:\Dataset\Exercises dataset\train/Bird Dog/000038.mp4,Bird Dog
199,D:\Dataset\Exercises dataset\train/Bird Dog/000039.mp4,Bird Dog
200,D:\Dataset\Exercises dataset\train/Bird Dog/000040.mp4,Bird Dog
201,D:\Dataset\Exercises dataset\train/Bird Dog/000041.mp4,Bird Dog
202,D:\Dataset\Exercises dataset\train/Bird Dog/000042.mp4,Bird Dog
203,D:\Dataset\Exercises dataset\train/Bird Dog/000043.mp4,Bird Dog
204,D:\Dataset\Exercises dataset\train/Bird Dog/000044.mp4,Bird Dog
205,D:\Dataset\Exercises dataset\train/Bird Dog/000045.mp4,Bird Dog
206,D:\Dataset\Exercises dataset\train/Bird Dog/000046.mp4,Bird Dog
207,D:\Dataset\Exercises dataset\train/Bird Dog/000047.mp4,Bird Dog
208,D:\Dataset\Exercises dataset\train/Bird Dog/000048.mp4,Bird Dog
209,D:\Dataset\Exercises dataset\train/Bird Dog/000049.mp4,Bird Dog
210,D:\Dataset\Exercises dataset\train/Bird Dog/000050.mp4,Bird Dog
211,D:\Dataset\Exercises dataset\train/Bird Dog/000051.mp4,Bird Dog
212,D:\Dataset\Exercises dataset\train/Bird Dog/000052.mp4,Bird Dog
213,D:\Dataset\Exercises dataset\train/Bird Dog/000053.mp4,Bird Dog
214,D:\Dataset\Exercises dataset\train/Bird Dog/000054.mp4,Bird Dog
215,D:\Dataset\Exercises dataset\train/Bird Dog/000055.mp4,Bird Dog
216,D:\Dataset\Exercises dataset\train/Bird Dog/000056.mp4,Bird Dog
217,D:\Dataset\Exercises dataset\train/Bird Dog/000057.mp4,Bird Dog
218,D:\Dataset\Exercises dataset\train/Bird Dog/000058.mp4,Bird Dog
219,D:\Dataset\Exercises dataset\train/Bird Dog/000059.mp4,Bird Dog
220,D:\Dataset\Exercises dataset\train/Bird Dog/000060.mp4,Bird Dog
221,D:\Dataset\Exercises dataset\train/Bird Dog/000061.mp4,Bird Dog
222,D:\Dataset\Exercises dataset\train/Bird Dog/000062.mp4,Bird Dog
223,D:\Dataset\Exercises dataset\train/Bird Dog/000063.mp4,Bird Dog
224,D:\Dataset\Exercises dataset\train/Bird Dog/000064.mp4,Bird Dog
225,D:\Dataset\Exercises dataset\train/Bird Dog/000065.mp4,Bird Dog
226,D:\Dataset\Exercises dataset\train/Bird Dog/000066.mp4,Bird Dog
227,D:\Dataset\Exercises dataset\train/Bird Dog/000067.mp4,Bird Dog
228,D:\Dataset\Exercises dataset\train/Bird Dog/000068.mp4,Bird Dog
229,D:\Dataset\Exercises dataset\train/Bird Dog/000069.mp4,Bird Dog
230,D:\Dataset\Exercises dataset\train/Bird Dog/000070.mp4,Bird Dog
231,D:\Dataset\Exercises dataset\train/Bird Dog/000071.mp4,Bird Dog
232,D:\Dataset\Exercises dataset\train/Bird Dog/000072.mp4,Bird Dog
233,D:\Dataset\Exercises dataset\train/Bird Dog/000073.mp4,Bird Dog
234,D:\Dataset\Exercises dataset\train/Bird Dog/000074.mp4,Bird Dog
235,D:\Dataset\Exercises dataset\train/Bird Dog/000075.mp4,Bird Dog
236,D:\Dataset\Exercises dataset\train/Bird Dog/000076.mp4,Bird Dog
237,D:\Dataset\Exercises dataset\train/Bird Dog/000077.mp4,Bird Dog
238,D:\Dataset\Exercises dataset\train/Bird Dog/000078.mp4,Bird Dog
239,D:\Dataset\Exercises dataset\train/Bird Dog/000079.mp4,Bird Dog
240,D:\Dataset\Exercises dataset\train/Curl/000000.mp4,Curl
241,D:\Dataset\Exercises dataset\train/Curl/000001.mp4,Curl
242,D:\Dataset\Exercises dataset\train/Curl/000002.mp4,Curl
243,D:\Dataset\Exercises dataset\train/Curl/000003.mp4,Curl
244,D:\Dataset\Exercises dataset\train/Curl/000004.mp4,Curl
245,D:\Dataset\Exercises dataset\train/Curl/000005.mp4,Curl
246,D:\Dataset\Exercises dataset\train/Curl/000006.mp4,Curl
247,D:\Dataset\Exercises dataset\train/Curl/000007.mp4,Curl
248,D:\Dataset\Exercises dataset\train/Curl/000008.mp4,Curl
249,D:\Dataset\Exercises dataset\train/Curl/000009.mp4,Curl
250,D:\Dataset\Exercises dataset\train/Curl/000010.mp4,Curl
251,D:\Dataset\Exercises dataset\train/Curl/000011.mp4,Curl
252,D:\Dataset\Exercises dataset\train/Curl/000012.mp4,Curl
